no,단어,뜻,등급
1,a,하나의,초등
2,abandon,버리다,중고
3,able,할 수 있는,중고
4,aboard,배로,중고
5,abort,유산하다,전문
6,about,-에 대하여,초등
7,above,-보다 위에,초등
8,abroad,외국으로,중고
9,absent,부재의,중고
10,absolute,절대의,중고
11,absorb,흡수하다,중고
12,abstract,추상적인,중고
13,absurd,불합리한,전문
14,abundant,풍부한,중고
15,abuse,남용,중고
16,academy,학술원,초등
17,accelerate,가속하다 속도가 가해지다,중고
18,accent,액센트,초등
19,accept,받아들이다,중고
20,access,접근,중고
21,accident,뜻밖의 사건,초등
22,accommodate,수용하다,중고
23,accompany,동반하다,중고
24,accomplish,이루다,중고
25,accord,일치하다,전문
26,account,설명하다 계산,중고
27,accumulate,축적하다,전문
28,accurate,정확한,중고
29,accuse,고발하다,중고
30,achieve,성취하다,중고
31,acid,산 신,중고
32,acknowledge,인정하다,중고
33,acquaint,알리다,전문
34,acquire,얻다,중고
35,acquisition,획득,전문
36,across,가로질러,초등
37,act,vi행동하다,초등
38,activate,활동적으로 하다,중고
39,actual,현실의,중고
40,acute,날카로운,중고
41,adapt,적용시키다,중고
42,add,추가하다,초등
43,addict,열중하게 하다,중고
44,address,말을 걸다,초등
45,adequate,충분한,중고
46,adjust,맞추다,중고
47,administer,관리하다,중고
48,admire,감복하다,중고
49,admission,입장,중고
50,admit,받아들이다,중고
51,adolescent,청년기의,중고
52,adopt,채용하다,중고
53,adult,성인,초등
54,advance,나아가다,중고
55,advantage,유리한 입장,중고
56,adventure,모험 모험하다,초등
57,adverse,거꾸로의,전문
58,advertize,광고하다,중고
59,advise,충고하다,초등
60,advocate,변호사,중고
61,aesthetic,미적인,전문
62,affair,일,중고
63,affect,영향을 주다,중고
64,affection,애정,중고
65,affiliate,회원으로 가입시키다,전문
66,afford,여유가 있다,중고
67,afraid,두려워하여,초등
68,after,후에,초등
69,afternoon,오후,초등
70,again,다시,초등
71,against,…에 반대하여,초등
72,age,연령,초등
73,agency,기능,중고
74,agenda,안건,중고
75,agent,대리인,중고
76,aggressive,침략적인,중고
77,ago,이전에,초등
78,agree,동의하다,초등
79,agriculture,농업,중고
80,ahead,전방에,초등
81,aid,도와 주다,중고
82,aim,겨누다,중고
83,air,공기,초등
84,airplane,비행기,초등
85,aircraft,항공기,중고
86,airline,정기항공,초등
87,airport,공항,초등
88,aisle,측면복도,중고
89,alert,빈틈없는,중고
90,alien,외국의,중고
91,alike,비슷한,중고
92,alive,살아있는,중고
93,all,모든,초등
94,allocate,할당하다,전문
95,allow,허락하다,중고
96,ally,동맹하다,중고
97,almost,거의,초등
98,alone,다만 홀로(혼자서),초등
99,along,-을 따라,초등